package,description,url,authors,category,msc,verified
Matrix_Tensor,"In this work, the Kronecker tensor product of matrices and the proofs of some of its properties are formalized. Properties which have been formalized include associativity of the tensor product and the mixed-product property.",https://www.isa-afp.org/entries/Matrix_Tensor.html,T.V.H. Prathamesh (prathamesh /at/ imsc /dot/ res /dot/ in),Mathematics/Algebra,08-xx,False
Huffman,"Huffman's algorithm is a procedure for constructing a binary tree with minimum weighted path length. This report presents a formal proof of the correctness of Huffman's algorithm written using Isabelle/HOL. Our proof closely follows the sketches found in standard algorithms textbooks, uncovering a few snags in the process. Another distinguishing feature of our formalization is the use of custom induction rules to help Isabelle's automatic tactics, leading to very short proofs for most of the lemmas.",https://www.isa-afp.org/entries/Huffman.html,Jasmin Christian Blanchette (j /dot/ c /dot/ blanchette /at/ vu /dot/ nl),Computer science/Data structures,68P05,False
Lazy-Lists-II,"This theory contains some useful extensions to the LList (lazy list) theory by Larry Paulson, including finite, infinite, and positive llists over an alphabet, as well as the new constants take and drop and the prefix order of llists. Finally, the notions of safety and liveness in the sense of Alpern and Schneider (1985) are defined.",https://www.isa-afp.org/entries/Lazy-Lists-II.html,Stefan Friedrich,Computer science/Data structures,68P05,False
IEEE_Floating_Point,"This development provides a formal model of IEEE-754 floating-point arithmetic. This formalization, including formal specification of the standard and proofs of important properties of floating-point arithmetic, forms the foundation for verifying programs with floating-point computation. There is also a code generation setup for floats so that we can execute programs using this formalization in functional programming languages.",https://www.isa-afp.org/entries/IEEE_Floating_Point.html,Lei Yu (ly271 /at/ cam /dot/ ac /dot/ uk),Computer science/Data structures,68P05,False
Native_Word,"This entry makes machine words and machine arithmetic available for code generation from Isabelle/HOL. It provides a common abstraction that hides the differences between the different target languages. The code generator maps these operations to the APIs of the target languages. Apart from that, we extend the available bit operations on types int and integer, and map them to the operations in the target languages.",https://www.isa-afp.org/entries/Native_Word.html,Andreas Lochbihler,Computer science/Data structures,68P05,False
XML,This entry provides an XML library for Isabelle/HOL. This includes parsing and pretty printing of XML trees as well as combinators for transforming XML trees into arbitrary user-defined data. The main contribution of this entry is an interface (fit for code generation) that allows for communication between verified programs formalized in Isabelle/HOL and the outside world via XML. This library was developed as part of the IsaFoR/CeTA project to which we refer for examples of its usage.,https://www.isa-afp.org/entries/XML.html,Christian Sternagel (c /dot/ sternagel /at/ gmail /dot/ com) and RenÃ© Thiemann (rene /dot/ thiemann /at/ uibk /dot/ ac /dot/ at),Computer science/Functional programming,68N18,False
Word_Lib,"This entry contains an extension to the Isabelle library for fixed-width machine words. In particular, the entry adds quickcheck setup for words, printing as hexadecimals, additional operations, reasoning about alignment, signed words, enumerations of words, normalisation of word numerals, and an extensive library of properties about generic fixed-width words, as well as an instantiation of many of these to the commonly used 32 and 64-bit bases.",https://www.isa-afp.org/entries/Word_Lib.html,"Joel Beeren, Matthew Fernandez, Xin Gao, Gerwin Klein, Rafal Kolanski, Japheth Lim, Corey Lewis, Daniel Matichuk and Thomas Sewell",Computer science/Data structures,68P05,False
KD_Tree,"This entry provides a formalization of multidimensional binary trees, also known as k-d trees. It includes a balanced build algorithm as well as the nearest neighbor algorithm and the range search algorithm. It is based on the papers Multidimensional binary search trees used for associative searching and An Algorithm for Finding Best Matches in Logarithmic Expected Time.",https://www.isa-afp.org/entries/KD_Tree.html,Martin Rau (martin /dot/ rau /at/ tum /dot/ de),Computer science/Data structures,68P05,False
Treaps,"A Treap is a binary tree whose nodes contain pairs consisting of some payload and an associated priority. It must have the search-tree property w.r.t. the payloads and the heap property w.r.t. the priorities. Treaps are an interesting data structure that is related to binary search trees (BSTs) in the following way: if one forgets all the priorities of a treap, the resulting BST is exactly the same as if one had inserted the elements into an empty BST in order of ascending priority. This means that a treap behaves like a BST where we can pretend the elements were inserted in a different order from the one in which they were actually inserted. In particular, by choosing these priorities at random upon insertion of an element, we can pretend that we inserted the elements in random order, so that the shape of the resulting tree is that of a random BST no matter in what order we insert the elements. This is the main result of this formalisation.",https://www.isa-afp.org/entries/Treaps.html,"Maximilian Haslbeck, Manuel Eberl and Tobias Nipkow",Computer science/Data structures,68P05,False
Skip_Lists,"Skip lists are sorted linked lists enhanced with shortcuts and are an alternative to binary search trees. A skip lists consists of multiple levels of sorted linked lists where a list on level n is a subsequence of the list on level n â 1. In the ideal case, elements are skipped in such a way that a lookup in a skip lists takes O(log n) time. In a randomised skip list the skipped elements are choosen randomly. This entry contains formalized proofs of the textbook results about the expected height and the expected length of a search path in a randomised skip list.",https://www.isa-afp.org/entries/Skip_Lists.html,Max W. Haslbeck and Manuel Eberl,Computer science/Data structures,68P05,False
Weight_Balanced_Trees,"This theory provides a verified implementation of weight-balanced trees following the work of Hirai and Yamamoto who proved that all parameters in a certain range are valid, i.e. guarantee that insertion and deletion preserve weight-balance. Instead of a general theorem we provide parameterized proofs of preservation of the invariant that work for many (all?) valid parameters.",https://www.isa-afp.org/entries/Weight_Balanced_Trees.html,Tobias Nipkow and Stefan Dirix,Computer science/Data structures,68P05,False
Core_DOM,"In this AFP entry, we formalize the core of the Document Object Model (DOM). At its core, the DOM defines a tree-like data structure for representing documents in general and HTML documents in particular. It is the heart of any modern web browser. Formalizing the key concepts of the DOM is a prerequisite for the formal reasoning over client-side JavaScript programs and for the analysis of security concepts in modern web browsers. We present a formalization of the core DOM, with focus on the node-tree and the operations defined on node-trees, in Isabelle/HOL. We use the formalization to verify the functional correctness of the most important functions defined in the DOM standard. Moreover, our formalization is 1) extensible, i.e., can be extended without the need of re-proving already proven properties and 2) executable, i.e., we can generate executable code from our specification.",https://www.isa-afp.org/entries/Core_DOM.html,Achim D. Brucker and Michael Herzberg,Computer science/Data structures,68P05,False
Core_SC_DOM,"In this AFP entry, we formalize the core of the Safely Composable Document Object Model (SC DOM). The SC DOM improve the standard DOM (as formalized in the AFP entry ""Core DOM"") by strengthening the tree boundaries set by shadow roots: in the SC DOM, the shadow root is a sub-class of the document class (instead of a base class). This modifications also results in changes to some API methods (e.g., getOwnerDocument) to return the nearest shadow root rather than the document root. As a result, many API methods that, when called on a node inside a shadow tree, would previously ``break out'' and return or modify nodes that are possibly outside the shadow tree, now stay within its boundaries. This change in behavior makes programs that operate on shadow trees more predictable for the developer and allows them to make more assumptions about other code accessing the DOM.",https://www.isa-afp.org/entries/Core_SC_DOM.html,Achim D. Brucker and Michael Herzberg,Computer science/Data structures,68P05,False
Shadow_SC_DOM,"In this AFP entry, we extend our formalization of the safely composable DOM with Shadow Roots. This is a proposal for Shadow Roots with stricter safety guarantess than the standard compliant formalization (see ""Shadow DOM""). Shadow Roots are a recent proposal of the web community to support a component-based development approach for client-side web applications. Shadow roots are a significant extension to the DOM standard and, as web standards are condemned to be backward compatible, such extensions often result in complex specification that may contain unwanted subtleties that can be detected by a formalization. Our Isabelle/HOL formalization is, in the sense of object-orientation, an extension of our formalization of the core DOM and enjoys the same basic properties, i.e., it is extensible, i.e., can be extended without the need of re-proving already proven properties and executable, i.e., we can generate executable code from our specification. We exploit the executability to show that our formalization complies to the official standard of the W3C, respectively, the WHATWG.",https://www.isa-afp.org/entries/Shadow_SC_DOM.html,Achim D. Brucker and Michael Herzberg,Computer science/Data structures,68P05,False
SC_DOM_Components,"While the (safely composable) DOM with shadow trees provide the technical basis for defining web components, it does neither defines the concept of web components nor specifies the safety properties that web components should guarantee. Consequently, the standard also does not discuss how or even if the methods for modifying the DOM respect component boundaries. In AFP entry, we present a formally verified model of safely composable web components and define safety properties which ensure that different web components can only interact with each other using well-defined interfaces. Moreover, our verification of the application programming interface (API) of the DOM revealed numerous invariants that implementations of the DOM API need to preserve to ensure the integrity of components. In comparison to the strict standard compliance formalization of Web Components in the AFP entry ""DOM_Components"", the notion of components in this entry (based on ""SC_DOM"" and ""Shadow_SC_DOM"") provides much stronger safety guarantees.",https://www.isa-afp.org/entries/SC_DOM_Components.html,Achim D. Brucker and Michael Herzberg,Computer science/Data structures,68P05,False
Priority_Search_Trees,"We present a new, purely functional, simple and efficient data structure combining a search tree and a priority queue, which we call a priority search tree. The salient feature of priority search trees is that they offer a decrease-key operation, something that is missing from other simple, purely functional priority queue implementations. Priority search trees can be implemented on top of any search tree. This entry does the implementation for red-black trees. This entry formalizes the first part of our ITP-2019 proof pearl Purely Functional, Simple and Efficient Priority Search Trees and Applications to Prim and Dijkstra.",https://www.isa-afp.org/entries/Priority_Search_Trees.html,Peter Lammich and Tobias Nipkow,Computer science/Data structures,68P05,False
Interval_Arithmetic_Word32,"Interval_Arithmetic implements conservative interval arithmetic computations, then uses this interval arithmetic to implement a simple programming language where all terms have 32-bit signed word values, with explicit infinities for terms outside the representable bounds. Our target use case is interpreters for languages that must have a well-understood low-level behavior. We include a formalization of bounded-length strings which are used for the identifiers of our language. Bounded-length identifiers are useful in some applications, for example the Differential_Dynamic_Logic article, where a Euclidean space indexed by identifiers demands that identifiers are finitely many.",https://www.isa-afp.org/entries/Interval_Arithmetic_Word32.html,Brandon Bohrer (bbohrer /at/ cs /dot/ cmu /dot/ edu),Computer science/Data structures,68P05,False
ADS_Functor,"Authenticated data structures allow several systems to convince each other that they are referring to the same data structure, even if each of them knows only a part of the data structure. Using inclusion proofs, knowledgeable systems can selectively share their knowledge with other systems and the latter can verify the authenticity of what is being shared. In this article, we show how to modularly define authenticated data structures, their inclusion proofs, and operations thereon as datatypes in Isabelle/HOL, using a shallow embedding. Modularity allows us to construct complicated trees from reusable building blocks, which we call Merkle functors. Merkle functors include sums, products, and function spaces and are closed under composition and least fixpoints. As a practical application, we model the hierarchical transactions of Canton, a practical interoperability protocol for distributed ledgers, as authenticated data structures. This is a first step towards formalizing the Canton protocol and verifying its integrity and security guarantees.",https://www.isa-afp.org/entries/ADS_Functor.html,Andreas Lochbihler and Ognjen MariÄ (ogi /dot/ afp /at/ mynosefroze /dot/ com),Computer science/Data structures,68P05,False
Relational_Disjoint_Set_Forests,We give a simple relation-algebraic semantics of read and write operations on associative arrays. The array operations seamlessly integrate with assignments in the Hoare-logic library. Using relation algebras and Kleene algebras we verify the correctness of an array-based implementation of disjoint-set forests with a naive union operation and a find operation with path compression.,https://www.isa-afp.org/entries/Relational_Disjoint_Set_Forests.html,Walter Guttmann,Computer science/Data structures,68P05,False
Shadow_DOM,"In this AFP entry, we extend our formalization of the core DOM with Shadow Roots. Shadow roots are a recent proposal of the web community to support a component-based development approach for client-side web applications. Shadow roots are a significant extension to the DOM standard and, as web standards are condemned to be backward compatible, such extensions often result in complex specification that may contain unwanted subtleties that can be detected by a formalization. Our Isabelle/HOL formalization is, in the sense of object-orientation, an extension of our formalization of the core DOM and enjoys the same basic properties, i.e., it is extensible, i.e., can be extended without the need of re-proving already proven properties and executable, i.e., we can generate executable code from our specification. We exploit the executability to show that our formalization complies to the official standard of the W3C, respectively, the WHATWG.",https://www.isa-afp.org/entries/Shadow_DOM.html,Achim D. Brucker and Michael Herzberg,Computer science/Data structures,68P05,False
DOM_Components,"While the DOM with shadow trees provide the technical basis for defining web components, the DOM standard neither defines the concept of web components nor specifies the safety properties that web components should guarantee. Consequently, the standard also does not discuss how or even if the methods for modifying the DOM respect component boundaries. In AFP entry, we present a formally verified model of web components and define safety properties which ensure that different web components can only interact with each other using well-defined interfaces. Moreover, our verification of the application programming interface (API) of the DOM revealed numerous invariants that implementations of the DOM API need to preserve to ensure the integrity of components.",https://www.isa-afp.org/entries/DOM_Components.html,Achim D. Brucker and Michael Herzberg,Computer science/Data structures,68P05,False
Finite-Map-Extras,"This entry includes useful syntactic sugar, new operators and functions, and their associated lemmas for finite maps which currently are not present in the standard Finite_Map theory.",https://www.isa-afp.org/entries/Finite-Map-Extras.html,Javier DÃ­az (javier /dot/ diaz /dot/ manzi /at/ gmail /dot/ com),Computer science/Data structures,68P05,False
Hood_Melville_Queue,This is a verified implementation of a constant time queue. The original design is due to Hood and Melville. This formalization follows the presentation in Purely Functional Data Structuresby Okasaki.,https://www.isa-afp.org/entries/Hood_Melville_Queue.html,Alejandro GÃ³mez-LondoÃ±o (alejandro /dot/ gomez /at/ chalmers /dot/ se),Computer science/Data structures,68P05,False
BTree,"In this work, we use the interactive theorem prover Isabelle/HOL to verify an imperative implementation of the classical B-tree data structure invented by Bayer and McCreight [ACM 1970]. The implementation supports set membership and insertion queries with efficient binary search for intra-node navigation. This is accomplished by first specifying the structure abstractly in the functional modeling language HOL and proving functional correctness. Using manual refinement, we derive an imperative implementation in Imperative/HOL. We show the validity of this refinement using the separation logic utilities from the Isabelle Refinement Framework . The code can be exported to the programming languages SML and Scala. We examine the runtime of all operations indirectly by reproducing results of the logarithmic relationship between height and the number of nodes. The results are discussed in greater detail in the corresponding Bachelor's Thesis.",https://www.isa-afp.org/entries/BTree.html,Niels MÃ¼ndler (n /dot/ muendler /at/ tum /dot/ de),Computer science/Data structures,68P05,False
Fresh_Identifiers,"This entry defines a type class with an operator returning a fresh identifier, given a set of already used identifiers and a preferred identifier. The entry provides a default instantiation for any infinite type, as well as executable instantiations for natural numbers and strings.",https://www.isa-afp.org/entries/Fresh_Identifiers.html,Andrei Popescu and Thomas Bauereiss (thomas /at/ bauereiss /dot/ name),Computer science/Data structures,68P05,False
Optics,"Lenses provide an abstract interface for manipulating data types through spatially-separated views. They are defined abstractly in terms of two functions, get, the return a value from the source type, and put that updates the value. We mechanise the underlying theory of lenses, in terms of an algebraic hierarchy of lenses, including well-behaved and very well-behaved lenses, each lens class being characterised by a set of lens laws. We also mechanise a lens algebra in Isabelle that enables their composition and comparison, so as to allow construction of complex lenses. This is accompanied by a large library of algebraic laws. Moreover we also show how the lens classes can be applied by instantiating them with a number of Isabelle data types.",https://www.isa-afp.org/entries/Optics.html,Simon Foster and Frank Zeyda,Mathematics/Algebra,18C99,True
CryptHOL,"CryptHOL provides a framework for formalising cryptographic arguments in Isabelle/HOL. It shallowly embeds a probabilistic functional programming language in higher order logic. The language features monadic sequencing, recursion, random sampling, failures and failure handling, and black-box access to oracles. Oracles are probabilistic functions which maintain hidden state between different invocations. All operators are defined in the new semantic domain of generative probabilistic values, a codatatype. We derive proof rules for the operators and establish a connection with the theory of relational parametricity. Thus, the resuting proofs are trustworthy and comprehensible, and the framework is extensible and widely applicable. The framework is used in the accompanying AFP entry ""Game-based Cryptography in HOL"". There, we show-case our framework by formalizing different game-based proofs from the literature. This formalisation continues the work described in the author's ESOP 2016 paper.",https://www.isa-afp.org/entries/CryptHOL.html,Andreas Lochbihler,Mathematics/Probability theory,60-xx,False
Monad_Normalisation,"The usual monad laws can directly be used as rewrite rules for Isabelleâs simplifier to normalise monadic HOL terms and decide equivalences. In a commutative monad, however, the commutativity law is a higher-order permutative rewrite rule that makes the simplifier loop. This AFP entry implements a simproc that normalises monadic expressions in commutative monads using ordered rewriting. The simproc can also permute computations across control operators like if and case.",https://www.isa-afp.org/entries/Monad_Normalisation.html,"Joshua Schneider, Manuel Eberl and Andreas Lochbihler",Tools,18C15,True
Monomorphic_Monad,"The notion of a monad cannot be expressed within higher-order logic (HOL) due to type system restrictions. We show that if a monad is used with values of only one type, this notion can be formalised in HOL. Based on this idea, we develop a library of effect specifications and implementations of monads and monad transformers. Hence, we can abstract over the concrete monad in HOL definitions and thus use the same definition for different (combinations of) effects. We illustrate the usefulness of effect polymorphism with a monadic interpreter for a simple language.",https://www.isa-afp.org/entries/Monomorphic_Monad.html,Andreas Lochbihler,Computer science/Functional programming,68N18,False
Show,"We implemented a type class for ""to-string"" functions, similar to Haskell's Show class. Moreover, we provide instantiations for Isabelle/HOL's standard types like bool, prod, sum, nats, ints, and rats. It is further possible, to automatically derive show functions for arbitrary user defined datatypes similar to Haskell's ""deriving Show"".",https://www.isa-afp.org/entries/Show.html,Christian Sternagel (c /dot/ sternagel /at/ gmail /dot/ com) and RenÃ© Thiemann (rene /dot/ thiemann /at/ uibk /dot/ ac /dot/ at),Computer science/Functional programming,68N18,False
Certification_Monads,"This entry provides several monads intended for the development of stand-alone certifiers via code generation from Isabelle/HOL. More specifically, there are three flavors of error monads (the sum type, for the case where all monadic functions are total; an instance of the former, the so called check monad, yielding either success without any further information or an error message; as well as a variant of the sum type that accommodates partial functions by providing an explicit bottom element) and a parser monad built on top. All of this monads are heavily used in the IsaFoR/CeTA project which thus provides many examples of their usage.",https://www.isa-afp.org/entries/Certification_Monads.html,Christian Sternagel (c /dot/ sternagel /at/ gmail /dot/ com) and RenÃ© Thiemann (rene /dot/ thiemann /at/ uibk /dot/ ac /dot/ at),Computer science/Functional programming,68N18,False
Partial_Function_MR,We provide a wrapper around the partial-function command that supports mutual recursion.,https://www.isa-afp.org/entries/Partial_Function_MR.html,RenÃ© Thiemann (rene /dot/ thiemann /at/ uibk /dot/ ac /dot/ at),Computer science/Functional programming,68N18,False
Lifting_Definition_Option,"We implemented a command that can be used to easily generate elements of a restricted type {x :: 'a. P x}, provided the definition is of the form f ys = (if check ys then Some(generate ys :: 'a) else None) where ys is a list of variables y1 ... yn and check ys ==> P(generate ys) can be proved. In principle, such a definition is also directly possible using the lift_definition command. However, then this definition will not be suitable for code-generation. To this end, we automated a more complex construction of Joachim Breitner which is amenable for code-generation, and where the test check ys will only be performed once. In the automation, one auxiliary type is created, and Isabelle's lifting- and transfer-package is invoked several times.",https://www.isa-afp.org/entries/Lifting_Definition_Option.html,RenÃ© Thiemann (rene /dot/ thiemann /at/ uibk /dot/ ac /dot/ at),Computer science/Functional programming,68N18,False
Coinductive,"This article collects formalisations of general-purpose coinductive data types and sets. Currently, it contains coinductive natural numbers, coinductive lists, i.e. lazy lists or streams, infinite streams, coinductive terminated lists, coinductive resumptions, a library of operations on coinductive lists, and a version of KÃ¶nig's lemma as an application for coinductive lists.The initial theory was contributed by Paulson and Wenzel. Extensions and other coinductive formalisations of general interest are welcome.",https://www.isa-afp.org/entries/Coinductive.html,Andreas Lochbihler,Computer science/Functional programming,68N18,False
Stream-Fusion,"Stream Fusion is a system for removing intermediate list structures from Haskell programs; it consists of a Haskell library along with several compiler rewrite rules. (The library is available online.)These theories contain a formalization of much of the Stream Fusion library in HOLCF. Lazy list and stream types are defined, along with coercions between the two types, as well as an equivalence relation for streams that generate the same list. List and stream versions of map, filter, foldr, enumFromTo, append, zipWith, and concatMap are defined, and the stream versions are shown to respect stream equivalence.",https://www.isa-afp.org/entries/Stream-Fusion.html,Brian Huffman,Computer science/Functional programming,68N18,False
Tycon,"These theories contain a formalization of first class type constructors and axiomatic constructor classes for HOLCF. This work is described in detail in the ICFP 2012 paper Formal Verification of Monad Transformers by the author. The formalization is a revised and updated version of earlier joint work with Matthews and White. Based on the hierarchy of type classes in Haskell, we define classes for functors, monads, monad-plus, etc. Each one includes all the standard laws as axioms. We also provide a new user command, tycondef, for defining new type constructors in HOLCF. Using tycondef, we instantiate the type class hierarchy with various monads and monad transformers.",https://www.isa-afp.org/entries/Tycon.html,Brian Huffman,Computer science/Functional programming,68N18,False
Tail_Recursive_Functions,"Tail-recursive function definitions are sometimes more straightforward than alternatives, but proving theorems on them may be roundabout because of the peculiar form of the resulting recursion induction rules. This paper describes a proof method that provides a general solution to this problem by means of suitable invariants over inductive sets, and illustrates the application of such method by examining two case studies.",https://www.isa-afp.org/entries/Tail_Recursive_Functions.html,Pasquale Noce (pasquale /dot/ noce /dot/ lavoro /at/ gmail /dot/ com),Computer science/Functional programming,68N18,False
Stream_Fusion_Code,"Stream Fusion is a system for removing intermediate list data structures from functional programs, in particular Haskell. This entry adapts stream fusion to Isabelle/HOL and its code generator. We define stream types for finite and possibly infinite lists and stream versions for most of the fusible list functions in the theories List and Coinductive_List, and prove them correct with respect to the conversion functions between lists and streams. The Stream Fusion transformation itself is implemented as a simproc in the preprocessor of the code generator. [Brian Huffman's AFP entry formalises stream fusion in HOLCF for the domain of lazy lists to prove the GHC compiler rewrite rules correct. In contrast, this work enables Isabelle's code generator to perform stream fusion itself. To that end, it covers both finite and coinductive lists from the HOL library and the Coinductive entry. The fusible list functions require specification and proof principles different from Huffman's.]",https://www.isa-afp.org/entries/Stream_Fusion_Code.html,Andreas Lochbihler and Alexandra Maximova (amaximov /at/ student /dot/ ethz /dot/ ch),Computer science/Functional programming,68N18,False
Applicative_Lifting,"Applicative functors augment computations with effects by lifting function application to types which model the effects. As the structure of the computation cannot depend on the effects, applicative expressions can be analysed statically. This allows us to lift universally quantified equations to the effectful types, as observed by Hinze. Thus, equational reasoning over effectful computations can be reduced to pure types. This entry provides a package for registering applicative functors and two proof methods for lifting of equations over applicative functors. The first method normalises applicative expressions according to the laws of applicative functors. This way, equations whose two sides contain the same list of variables can be lifted to every applicative functor. To lift larger classes of equations, the second method exploits a number of additional properties (e.g., commutativity of effects) provided the properties have been declared for the concrete applicative functor at hand upon registration. We declare several types from the Isabelle library as applicative functors and illustrate the use of the methods with two examples: the lifting of the arithmetic type class hierarchy to streams and the verification of a relabelling function on binary trees. We also formalise and verify the normalisation algorithm used by the first proof method.",https://www.isa-afp.org/entries/Applicative_Lifting.html,Andreas Lochbihler and Joshua Schneider,Computer science/Functional programming,68N18,False
HOLCF-Prelude,"The Isabelle/HOLCF-Prelude is a formalization of a large part of Haskell's standard prelude in Isabelle/HOLCF. We use it to prove the correctness of the Eratosthenes' Sieve, in its self-referential implementation commonly used to showcase Haskell's laziness; prove correctness of GHC's ""fold/build"" rule and related rewrite rules; and certify a number of hints suggested by HLint.",https://www.isa-afp.org/entries/HOLCF-Prelude.html,"Joachim Breitner (joachim /at/ cis /dot/ upenn /dot/ edu), Brian Huffman, Neil Mitchell and Christian Sternagel (c /dot/ sternagel /at/ gmail /dot/ com)",Computer science/Functional programming,68N18,False
BNF_CC,"Bounded natural functors (BNFs) provide a modular framework for the construction of (co)datatypes in higher-order logic. Their functorial operations, the mapper and relator, are restricted to a subset of the parameters, namely those where recursion can take place. For certain applications, such as free theorems, data refinement, quotients, and generalised rewriting, it is desirable that these operations do not ignore the other parameters. In this article, we formalise the generalisation BNFCC that extends the mapper and relator to covariant and contravariant parameters. We show that BNFCCs are closed under functor composition and least and greatest fixpoints, subtypes inherit the BNFCC structure under conditions that generalise those for the BNF case, and BNFCCs preserve quotients under mild conditions. These proofs are carried out for abstract BNFCCs similar to the AFP entry BNF Operations. In addition, we apply the BNFCC theory to several concrete functors.",https://www.isa-afp.org/entries/BNF_CC.html,Andreas Lochbihler and Joshua Schneider,Tools,??-xx,False
Binding_Syntax_Theory,"We formalize a theory of syntax with bindings that has been developed and refined over the last decade to support several large formalization efforts. Terms are defined for an arbitrary number of constructors of varying numbers of inputs, quotiented to alpha-equivalence and sorted according to a binding signature. The theory includes many properties of the standard operators on terms: substitution, swapping and freshness. It also includes bindings-aware induction and recursion principles and support for semantic interpretation. This work has been presented in the ITP 2017 paper âA Formalized General Theory of Syntax with Bindingsâ.",https://www.isa-afp.org/entries/Binding_Syntax_Theory.html,Lorenzo Gheri (lor /dot/ gheri /at/ gmail /dot/ com) and Andrei Popescu,Logic/General logic/Mechanization of proofs,03B35,True
Hello_World,"In this article, we present a formalization of the well-known ""Hello, World!"" code, including a formal framework for reasoning about IO. Our model is inspired by the handling of IO in Haskell. We start by formalizing the ð and embrace the IO monad afterwards. Then we present a sample main :: IO (), followed by its proof of correctness.",https://www.isa-afp.org/entries/Hello_World.html,Cornelius Diekmann and Lars Hupel,Computer science/Functional programming,68N18,False
BirdKMP,Richard Bird and collaborators have proposed a derivation of an intricate cyclic program that implements the Morris-Pratt string matching algorithm. Here we provide a proof of total correctness for Bird's derivation and complete it by adding Knuth's optimisation.,https://www.isa-afp.org/entries/BirdKMP.html,Peter Gammie,Computer science/Functional programming,68N18,False
SPARCv8,"We formalise the SPARCv8 instruction set architecture (ISA) which is used in processors such as LEON3. Our formalisation can be specialised to any SPARCv8 CPU, here we use LEON3 as a running example. Our model covers the operational semantics for all the instructions in the integer unit of the SPARCv8 architecture and it supports Isabelle code export, which effectively turns the Isabelle model into a SPARCv8 CPU simulator. We prove the language-based non-interference property for the LEON3 processor. Our model is based on deterministic monad, which is a modified version of the non-deterministic monad from NICTA/l4v.",https://www.isa-afp.org/entries/SPARCv8.html,"Zhe Hou (zhe /dot/ hou /at/ ntu /dot/ edu /dot/ sg), David Sanan (sanan /at/ ntu /dot/ edu /dot/ sg), Alwen Tiu (ATiu /at/ ntu /dot/ edu /dot/ sg) and Yang Liu (yangliu /at/ ntu /dot/ edu /dot/ sg)",Computer science/Security,68M25,False
Deep_Learning,"Deep learning has had a profound impact on computer science in recent years, with applications to search engines, image recognition and language processing, bioinformatics, and more. Recently, Cohen et al. provided theoretical evidence for the superiority of deep learning over shallow learning. This formalization of their work simplifies and generalizes the original proof, while working around the limitations of the Isabelle type system. To support the formalization, I developed reusable libraries of formalized mathematics, including results about the matrix rank, the Lebesgue measure, and multivariate polynomials, as well as a library for tensor analysis.",https://www.isa-afp.org/entries/Deep_Learning.html,Alexander Bentkamp (bentkamp /at/ gmail /dot/ com),Mathematics/Analysis,26-xx,False
Inductive_Inference,"This entry formalizes some classical concepts and results from inductive inference of recursive functions. In the basic setting a partial recursive function (""strategy"") must identify (""learn"") all functions from a set (""class"") of recursive functions. To that end the strategy receives more and more values $f(0), f(1), f(2), \ldots$ of some function $f$ from the given class and in turn outputs descriptions of partial recursive functions, for example, GÃ¶del numbers. The strategy is considered successful if the sequence of outputs (""hypotheses"") converges to a description of $f$. A class of functions learnable in this sense is called ""learnable in the limit"". The set of all these classes is denoted by LIM. Other types of inference considered are finite learning (FIN), behaviorally correct learning in the limit (BC), and some variants of LIM with restrictions on the hypotheses: total learning (TOTAL), consistent learning (CONS), and class-preserving learning (CP). The main results formalized are the proper inclusions $\mathrm{FIN} \subset \mathrm{CP} \subset \mathrm{TOTAL} \subset \mathrm{CONS} \subset \mathrm{LIM} \subset \mathrm{BC} \subset 2^{\mathcal{R}}$, where $\mathcal{R}$ is the set of all total recursive functions. Further results show that for all these inference types except CONS, strategies can be assumed to be total recursive functions; that all inference types but CP are closed under the subset relation between classes; and that no inference type is closed under the union of classes. The above is based on a formalization of recursive functions heavily inspired by the Universal Turing Machine entry by Xu et al., but different in that it models partial functions with codomain nat option. The formalization contains a construction of a universal partial recursive function, without resorting to Turing machines, introduces decidability and recursive enumerability, and proves some standard results: existence of a Kleene normal form, the s-m-n theorem, Rice's theorem, and assorted fixed-point theorems (recursion theorems) by Kleene, Rogers, and Smullyan.",https://www.isa-afp.org/entries/Inductive_Inference.html,Frank J. Balbach (frank-balbach /at/ gmx /dot/ de),Logic/Computability,03Dxx,False
UPF_Firewall,We present a formal model of network protocols and their application to modeling firewall policies. The formalization is based on the Unified Policy Framework (UPF). The formalization was originally developed with for generating test cases for testing the security configuration actual firewall and router (middle-boxes) using HOL-TestGen. Our work focuses on modeling application level protocols on top of tcp/ip.,https://www.isa-afp.org/entries/UPF_Firewall.html,"Achim D. Brucker, Lukas BrÃ¼gger and Burkhart Wolff",Computer science/Security,68M25,False
IP_Addresses,"This entry contains a definition of IP addresses and a library to work with them. Generic IP addresses are modeled as machine words of arbitrary length. Derived from this generic definition, IPv4 addresses are 32bit machine words, IPv6 addresses are 128bit words. Additionally, IPv4 addresses can be represented in dot-decimal notation and IPv6 addresses in (compressed) colon-separated notation. We support toString functions and parsers for both notations. Sets of IP addresses can be represented with a netmask (e.g. 192.168.0.0/255.255.0.0) or in CIDR notation (e.g. 192.168.0.0/16). To provide executable code for set operations on IP address ranges, the library includes a datatype to work on arbitrary intervals of machine words.",https://www.isa-afp.org/entries/IP_Addresses.html,"Cornelius Diekmann, Julius Michaelis and Lars Hupel",Computer science/Networks,94Cxx,False
