package,url,description,authors,msc,verified
coq-fiat-core,http://plv.csail.mit.edu/fiat/,Coq library for synthesizing efficient correct-by-construction programs from declarative specifications.,"Adam Chlipala, Benjamin Delaware, Clément Pit-Claudel, Jason Gross",None,False
coq-fiat-crypto,https://github.com/mit-plv/fiat-crypto,Cryptographic Primitive Code Generation by Fiat.,"Andres Erbsen, Google Inc., Jade Philipoom, Massachusetts Institute of Technology, Zoe Paraskevopoulou",None,False
coq-fiat-crypto-legacy,https://github.com/mit-plv/fiat-crypto,Cryptographic Primitive Code Generation in Fiat (legacy pipeline).,"Andres Erbsen, Google Inc., Jade Philipoom, Massachusetts Institute of Technology",None,False
coq-fiat-crypto-legacy-extra,https://github.com/mit-plv/fiat-crypto,Cryptographic Primitive Code Generation in Fiat (legacy pipeline + many large examples).,"Andres Erbsen, Google Inc., Jade Philipoom, Massachusetts Institute of Technology",None,False
coq-fiat-parsers,http://plv.csail.mit.edu/fiat/,Mostly automated synthesis of correct-by-construction programs.,"Adam Chlipala, Benjamin Delaware, Clément Pit-Claudel, Jason Gross",None,False
coq-finger-tree,http://mattam.org/research/russell/fingertrees.en.html,A verified generic implementation of Finger Trees,Matthieu Sozeau,68Q65,False
coq-firing-squad,https://github.com/coq-contribs/firing-squad,This contribution is a formal verification of a solution of the firing squad synchronization problem.,Jean Duprat,68Q80,True
coq-float,https://github.com/coq-contribs/float,A library for floating-point numbers.,"Laurent Théry, Sylvie Boldo",68Q65,False
coq-flocq,https://flocq.gitlabpages.inria.fr/,A formalization of floating-point arithmetic for the Coq system,"Sylvie Boldo, Guillaume Melquiond",None,False
coq-flocq-quickchick,https://github.com/digamma-ai/flocq-quickchick,Flocq binary_float generators for QuickChick testing framework,,None,False
coq-formal-topology,https://github.com/bmsherman/topology,A programming language for topology and probability in Coq.,Ben Sherman,None,False
coq-founify,https://github.com/coq-contribs/founify,"A notion of terms based on symbols without fixed arities is defined and an extended unification problem is proved solvable on these terms. An algorithm, close from Robinson algorithm, can be extracted from the proof.",Jocelyne Rouyer,68Wxx,False
coq-fourcolor,https://math-comp.github.io,"Proof of the Four Color Theorem  This library contains a formalized proof of the Four Color Theorem, along with the theories needed to support stating and then proving the Theorem.   This includes an axiomatization of the setoid of classical real numbers, basic plane topology definitions, and a theory of combinatorial hypermaps.",Georges Gonthier,None,False
coq-fpmods,http://perso.crans.org/cohen/work/fpmods/,A short constructive formalization of finitely presented modules,,None,False
coq-free-groups,https://github.com/coq-contribs/free-groups,"This small contribution is a formalization of van der Waerden's proof of the construction of a free group on a set of generators, as the reduced words where a letter is a generator or its formal inverse.",Daniel Schepler,06-xx,False
coq-freespec-core,https://github.com/lthms/FreeSpec,"FreeSpec is a framework for the Coq proof assistant which allows to implement and specify impure computations. This is the core of the framework: it provides the foundation of the formalism, based on the freer monad, the reasoning theory and tactics to automate the reasoning.","Thomas Letan, Yann Régis-Gianas",18-xx,False
coq-freespec-exec,https://github.com/lthms/FreeSpec,"FreeSpec is a framework for the Coq proof assistant which allows to implement and specify impure computations. This is the “exec” plugin, which allows from executing impure computations from with Coq thanks to a dedicated vernacular command.","Thomas Letan, Yann Régis-Gianas",NA,False
coq-freespec-ffi,https://github.com/lthms/FreeSpec,FreeSpec is a framework for the Coq proof assistant which allows to implement and specify impure computations. It can be used with coqffi to write certified software.,"Thomas Letan, Yann Régis-Gianas",NA,False
coq-fsets,https://github.com/coq-contribs/fsets,"This contribution contains several implementations of finite sets over arbitrary ordered types using functors. Currently, there are 3 implementations: sorted lists, red-black trees and AVLs.","Pierre Letouzey, Jean-Christophe Filliâtre",68Q65,False
coq-fssec-model,https://github.com/coq-contribs/fssec-model,"Formal verification of an extension of a UNIX compatible, secure filesystem",Maximiliano Cristiá,68N25,False
coq-function-ninjas,https://github.com/clarus/coq-function-ninjas,Simple functional combinators,Guillaume Claret,None,False
coq-functional-algebra,https://github.com/llee454/functional-algebra,"a functional programming style. The modules contained within the  package span monoids, groups, rings, and fields and provides both  axiom definitions for these structures and proofs of foundational  results. The current package contains over 800 definitions and  proofs.  This module is unique in that it eschews the tactic-oriented style of traditional Coq developments. As pointed out by others, programs written in that style are brittle, hard to read, and generally inefficient.  While tactic driven development is useful for sketching out proofs, these disadvantages should dissuade us from publising proofs in this form.  In this library, I provide a worked example of using Gallina directly and demonstrate both the feasibility of this approach and its advantages in terms of clarity, maintainability, and compile-time efficiency.  In addition, this module includes two expression simplifiers. The first, defined in monoid_expr.v simplifies monoid expressions. The second, defined in group_expr.v simplifies group expressions.  These functions allow us to automate many of the steps involved in proving algebraic theorems directly in Gallina, and represent an alternative to relying on tactics such as auto, omega, etc.  For more information about this package, please read its Readme file, which can be found here:  https://github.com/llee454/functional-algebra.",Larry D. Lee Jr.,NA,False
coq-functions-in-zfc,https://github.com/coq-contribs/functions-in-zfc,"This mostly repeats Guillaume Alexandre's contribution `zf', but in classical logic and with a different proof style. We start with a simple axiomatization of some flavor of ZFC (for example Werner's implementation of ZFC should provide a model). We develop some very basic things like pairs, functions, and a little bit about natural numbers, following the standard classical path.",Carlos Simpson,03Exx,False
coq-fundamental-arithmetics,http://perso.ens-lyon.fr/sebastien.briais/tools/Arith_080201.tar.gz,Fundamental theorems of arithmetic,Sébastien Briais,11-xx,False
coq-gaia,https://github.com/coq-community/gaia,"Implementation of books from N. Bourbaki's Elements of Mathematics in Coq using the Mathematical Components library, including set theory and number theory.","José Grimm, Alban Quadrat, Carlos Simpson",03Exx,False
coq-gaia-hydras,https://github.com/coq-community/hydra-battles,The Gaia and Hydra battles projects develop different notions of ordinals. This development bridges the different notions.,Pierre Castéran,03-xx,False
coq-games,,A library for algorithmic game theory in Ssreflect/Coq,"Alexander Bagnall, Samuel Merten, Gordon Stewart",05-xx,False
coq-gappa,https://gappa.gitlabpages.inria.fr/,A Coq tactic for discharging goals about floating-point arithmetic and round-off errors using the Gappa prover,Guillaume Melquiond,68Wxx,False
coq-gc,https://github.com/coq-contribs/gc,"We specify an incremental garbage collection algorithm and we give a formal proof of its correctness. The algorithm is represented as an infinite transition system and we establish safety and liveness properties. This work relies on an axiomatization of LTL and is based on a co-inductive representation of programs executions. Although motivated by integrating the dynamic memory management to the Java Card platform, this study applies more generally to real-time embedded systems and to devices with virtually infinite memory.",Solange Coupet-Grimal and Catherine Nouvet,68N20,False
coq-generic-environments,https://github.com/coq-community/generic-environments,"Generic Environments is a library which provides an abstract data type of environments, as a functor parameterized by a module defining variables, and a function which builds environments for such variables with any Type of type. Usual operations over environments are defined, along with an extensive set of basic and more advanced properties. Moreover, an implementation using lists satisfying and all the required properties is provided.",Emmanuel Polonowski,03B38,False
coq-geocoq,http://geocoq.github.io/GeoCoq/,This package depends on all subpackages.,"Michael Beeson, Gabriel Braun, Pierre Boutry, Cyril Cohen, Charly Gries, Julien Narboux, Pascal Schreck, Freek Wiedijk",51-xx,False
coq-geocoq-axioms,http://geocoq.github.io/GeoCoq/,This subpackage contains the axioms.,"Michael Beeson, Gabriel Braun, Pierre Boutry, Charly Gries, Julien Narboux, Pascal Schreck",51-xx,False
coq-geocoq-coinc,http://geocoq.github.io/GeoCoq/,This subpackage contains some tactics to deal with incidence properties.,"Pierre Boutry, Julien Narboux, Pascal Schreck",51-xx,False
coq-geocoq-elements,http://geocoq.github.io/GeoCoq/,This subpackage contains a formalization of Euclid's proofs from Book I of the Elements.,"Michael Beeson, Julien Narboux, Freek Wiedijk",51-xx,False
coq-geocoq-main,http://geocoq.github.io/GeoCoq/,This subpackage contains the main developments from Hilbert's and Tarski's axiom systems.,"Gabriel Braun, Pierre Boutry, Charly Gries, Julien Narboux, Pascal Schreck",51-xx,False
coq-geocoq-pof,http://geocoq.github.io/GeoCoq/,This subpackage contains a model of Tarski's axioms.,"Pierre Boutry, Cyril Cohen",51-xx,False
coq-geometric-algebra,https://github.com/thery/GeometricAlgebra,Grassman Cayley and Clifford formalisations,,None,False
coq-giskard,https://github.com/runtimeverification/giskard-verification,"The Giskard consensus protocol is used to validate transactions and computations in the PlatON network. This project provides a model of Giskard in Coq, and formally proves several key safety properties of the protocol.","Elaine Li, Karl Palmskog, Mircea Sebe",68Q85,False
coq-goedel,https://github.com/coq-community/goedel,"A proof in Coq of the Gödel-Rosser 1st incompleteness theorem, which says that any first order theory extending NN (which is PA without induction) that is complete is inconsistent.",Russell O'Connor,03F40,True
coq-graph-basics,https://github.com/coq-contribs/graph-basics,"This library offers inductive definitions of basics in graph theory. The goal is to offer the possibility to write proofs and programs on graphs in the same formalism : the Coq language. It now contains : vertices, arcs, edges, degrees, graphs, directed graphs, paths, acyclic graphs, connected graphs and tree.",Jean Duprat,05-xx,False
coq-graph-theory,https://github.com/coq-community/graph-theory,"A library of formalized graph theory results, including various standard results from the literature (e.g., Menger’s Theorem, Hall’s Marriage Theorem, and the excluded minor characterization of treewidth-two graphs) as well as some more recent results arising from the study of relation algebra within the ERC CoVeCe project (e.g., soundness and completeness of an axiomatization of graph isomorphism).","Christian Doczkal, Damien Pous",05Cxx	,False
coq-graphs,https://github.com/coq-contribs/graphs,*******************************************************************,Jean Goubault,68Wxx,False
coq-group-theory,https://github.com/coq-contribs/group-theory,"Group Theory following the book ""Group Theory"" from W.R. Scott.",Gilles Kahn,06-xx,False
coq-groups,https://github.com/coq-contribs/groups,An exercise on groups,Pierre Castéran,NA,False
coq-hammer,https://github.com/lukaszcz/coqhammer,A general-purpose automated reasoning hammer tool for Coq that combines learning from previous proofs with the translation of problems to the logics of automated systems and the reconstruction of successfully found proofs.,"Lukasz Czajka, Cezary Kaliszyk",68V15,True
coq-hammer-tactics,https://github.com/lukaszcz/coqhammer,"Collection of tactics that are used by the hammer for Coq to reconstruct proofs found by automated theorem provers. When the hammer has been successfully applied to a project, only this package needs to be installed; the hammer plugin is not required.",Lukasz Czajka,68V15,True
coq-hardware,https://github.com/coq-contribs/hardware,"Verification and synthesis of hardware linear arithmetic structures. Example of a left-to-right comparator. Three approaches are tackled : - the usual verification of a circuit, consisting in proving that the description satisfies the specification, - the synthesis of a circuit from its specification using the Coq extractor, - the same approach as above but using the Program tactic.",Solange Coupet-Grimal & Line Jakubiec,94Cxx,False
coq-hedges,https://github.com/coq-contribs/hedges,"These properties are in section 6.1 of the paper    ""On Bisimulations for the Spi-Calculus"" by J. Borgström    and U. Nestmann.    However, we consider here an extended message language.",Sébastien Briais,68Q85,False
coq-hierarchy-builder,https://github.com/math-comp/hierarchy-builder,"Hierarchy Builder is a high level language to build hierarchies of algebraic structures and make these hierarchies evolve without breaking user code. The key concepts are the ones of factory, builder and abbreviation that let the hierarchy developer describe an actual interface for their library. Behind that interface the developer can provide appropriate code to ensure retro compatibility.","Cyril Cohen, Kazuhiko Sakaguchi, Enrico Tassi",None,False
coq-hierarchy-builder-shim,https://github.com/math-comp/hierarchy-builder,This package provide the support constants one can use to compile files generated by HB.,"Cyril Cohen, Kazuhiko Sakaguchi, Enrico Tassi",None,False
coq-high-school-geometry,https://github.com/coq-community/HighSchoolGeometry,This Coq library is dedicated to high-shool geometry teaching. The axiomatisation for affine Euclidean space is in a non analytic setting. Includes a proof of Ptolemy's theorem.,"Frédérique Guilhot, Tuan-Minh Pham",51-xx,False
coq-higman-cf,https://github.com/coq-contribs/higman-cf,This development formalizes in Coq the Coquand-Friedlender proof of Higman's lemma for a two-letter alphabet. An efficient program can be extracted from the proof.,Stefan Berghofer,05-xx,False
coq-higman-nw,https://github.com/coq-contribs/higman-nw,The file Higman.v formalizes an A-translated version of Nash-Williams impredicative and classical proof of Higman's lemma for a two-letter alphabet. A constructive and impredicative program can be extracted from the proof.,Hugo Herbelin,03-xx,False
coq-higman-s,https://github.com/coq-contribs/higman-s,"This proof is more or less the proof given by Monika Seisenberger in ""An Inductive Version of Nash-Williams' Minimal-Bad-Sequence Argument for Higman's Lemma"".",William Delobel,05-xx,False
coq-historical-examples,https://github.com/coq-contribs/historical-examples,"This is a collection of historical examples developed in system CoC that implemented Coquand's Calculus of Constructions. Newman.v and Tarski.v originate in version 1.10, Manna.v and Format.v are from version 4.3. Their evolution to the Calculus of Inductive Constructions (up to Coq V6.3) are in MannaCIC.v and FormatCIC.v. (Collection by Hugo Herbelin.)","Gérard Huet, Christine Paulin",NA,False
coq-hoare-tut,https://github.com/coq-community/hoare-tut,"Hoare logics are ""program logics"" suitable for reasoning about imperative programs. This work is both an introduction to Hoare logic and a demo illustrating Coq nice features. It formalizes the generation of PO (proof obligations) in a Hoare logic for a very basic imperative programming language. It proves the soundness and the completeness of the PO generation both in partial and total correctness. At last, it examplifies on a very simple example (a GCD computation) how the PO generation can simplify concrete proofs. Coq is indeed able to compute PO on concrete programs: we say here that the generation of proof obligations is reflected in Coq. Technically, the PO generation is here performed through Dijkstra's weakest-precondition calculus.",Sylvain Boulmé,68N15,True
coq-hott,http://homotopytypetheory.org/,"To use the HoTT library, the following flags must be passed to coqc:    -noinit -indices-matter To use the HoTT library in a project, add the following to _CoqProject:    -arg -noinit    -arg -indices-matter",The Coq-HoTT Development Team,None,False
coq-http,https://github.com/liyishuai/coq-http,"HTTP specification in Coq, testable and verifiable","Yishuai Li, Li-yao Xia, Yao Li, Azzam Althagafi, Benjamin C. Pierce",68M12,True
coq-huffman,https://github.com/coq-community/huffman,"This projects contains a Coq proof of the correctness of the Huffman coding algorithm, as described in David A. Huffman's paper A Method for the Construction of Minimum-Redundancy Codes, Proc. IRE, pp. 1098-1101, September 1952.",Laurent Théry,68Wxx,False
coq-hydra-battles,https://github.com/coq-community/hydra-battles,"An exploration of some properties of Kirby and Paris' hydra battles, with the help of the Coq Proof assistant. This development includes the study of several representations of ordinal numbers, and a part of the so-called Ketonen and Solovay machinery (combinatorial properties of epsilon0).",Pierre Castéran,05-xx,False
coq-icharate,http://www.labri.fr/perso/anoun/Icharate,"The logical toolkit ICHARATE is built upon a formalization of multimodal categorial grammars in Coq proof assistant. This toolkit aims at facilitating the study of these complicated formalisms by allowing users to build interactively the syntactic derivations of different sentences, compute their semantic interpretations and also prove universal properties of entire classes of grammars using a collection of already established derived rules. Several tactics are defined to ease the interaction with users.","Houda Anoun, Pierre Casteran",68Q45,False
coq-idxassoc,https://github.com/coq-contribs/idxassoc,"We define the associative array (key -> value associations) datatype as list of couples, providing definitions of standards operations such as adding, deleting.  We introduce predicates for membership of a key and of couples.  Finally we define a search operator (""find"") which returns the value associated with a key or the ""none"" option (see file Option.v which should be part of this contribution) on failure.  Lemmas we prove about these concepts were motivated by our needs at the moment we created this file. We hope they'll suit your needs too but anyway, feel free to communicate any wish or remark.","Dominique Quatravaux, François-René Ridaux, Gérald Macinenti",68Q65,False
coq-ieee754,https://github.com/coq-contribs/ieee754,"This library contains a non-verified implementation of binary floating-point addition and multiplication operators inspired by the IEEE-754 standard. It is today outdated.  See the attached 1997 report rapport-stage-dea.ps.gz for a discussion (in French) of this work.  For the state of the art at the time of updating this notice, see e.g. ""Flocq: A Unified Library for Proving Floating-point Algorithms in Coq"" by S. Boldo and G. Melquiond, 2011.",Patrick Loiseleur,68Q65,False
coq-improper-integrals,https://github.com/ybertot/improper_integrals,"This package contains a few theorems whose use case was discovered when making experiments, for instance in the pi-agm package.  These theorems should probably integrated in coquelicot in the long run, but having this package makes them easily available while waiting for any necessary cleanup and discussion to happen.",Yves Bertot,14Pxx,False
coq-inf-seq-ext,https://github.com/DistributedComponents/InfSeqExt,"A Coq library for reasoning inductively and coinductively on infinite sequences, using modal operators similar to those in linear temporal logic (LTL).","Yuxin Deng, Jean-Francois Monin, Karl Palmskog, Ryan Doenges",03B45,False
coq-infotheo,https://github.com/affeldt-aist/infotheo,"Infotheo is a Coq library for reasoning about discrete probabilities, information theory, and linear error-correcting codes.","Reynald Affeldt, AIST, Manabu Hagiwara, Chiba U. (previously AIST), Jonas Senizergues, ENS Cachan (internship at AIST), Jacques Garrigue, Nagoya U., Kazuhiko Sakaguchi, Tsukuba U., Taku Asai, Nagoya U. (M2), Takafumi Saikawa, Nagoya U., Naruomi Obata, Titech (M2)",None,False
coq-int-map,https://github.com/coq-contribs/int-map,"This library contains a data structure for finite sets implemented by an efficient structure of map (trees indexed by binary integers). It was initially developed by Jean Goubault.  This user contribution used to be part of Coq Standard Library. It is now considered to be obsolete and subsumed by the new FSets/FMap library. IntMap can be now seen as a particular implementation of FMapInterface, see file FMapIntMap.",Jean Goubault,68Q65,False
coq-interval,https://coqinterval.gitlabpages.inria.fr/,A Coq tactic for proving bounds on real-valued expressions automatically,"Guillaume Melquiond, Érik Martin-Dorel, Pierre Roux, Thomas Sibut-Pinote",14Pxx,False
coq-intuitionistic-nuprl,https://github.com/coq-contribs/intuitionistic-nuprl,"http://www.nuprl.org/html/Nuprl2Coq/  This library formalizes Nuprl's Constructive Type Theory (CTT) as of 2015. CTT is an extensional type theory originally inspired by Martin-Lof's extensional type theory, and that has since then been extended with several new types such as: intersection types, union types, image types, partial types, set types, quotient types, partial equivalence relation (per) types, simulation and bisimulation types, an atom type, and the ""Base"" type.  Our formalization includes a definition of Nuprl's computation system, a definition of Howe's computational equivalence relation and a proof that it is a congruence, an impredicative definition of Nuprl's type system using Allen's PER semantics (using Prop's impredicativity, we can formalize Nuprl's infinite hierarchy of universes), definitions of most (but not all) of Nuprl's inference rules and proofs that these rules are valid w.r.t. Allen's PER semantics, and a proof of Nuprl's consistency.  In addition to the standard introduction and elimination rules for Nuprl's types, we have also proved several Brouwerian rules. Our computation system also contains: (1) free choice sequences that we used to prove Bar Induction rules; (2) named exceptions and a ""fresh"" operator to generate fresh names, that we used to prove a continuity rule.  More information can be found here: http://www.nuprl.org/html/Nuprl2Coq/ Feel free to send questions to the authors or to nuprl@cs.cornell.edu","Vincent Rahli, Abhishek Anand, Mark Bickford",03B38,False
coq-io,https://github.com/clarus/io,A library for effects in Coq,Guillaume Claret,68-04,True
coq-io-evaluate,https://github.com/clarus/io-evaluate,Generic functions to run effects,Guillaume Claret,68-04,True
coq-io-exception,https://github.com/clarus/io-exception,Abstract your errors into exceptions,Guillaume Claret,68-04,True
coq-io-hello-world,https://github.com/clarus/coq-hello-world,A Hello World program in Coq,Guillaume Claret,68-04,True
coq-io-list,https://github.com/clarus/io-list,Generic functions on lists with effects,Guillaume Claret,68-04,True
coq-io-system,https://github.com/clarus/io-system,System effects for Coq,Guillaume Claret,68-04,True
coq-io-system-ocaml,https://github.com/clarus/io-system-ocaml,Extraction to OCaml of system effects,Guillaume Claret,68-04,True
coq-ipc,https://github.com/coq-contribs/ipc,"This development treats proof search in intuitionistic propositional logic, a fragment of any constructive type theory. We present new and more efficient decision procedures for intuitionistic propositional logic. They themselves are given by (non-formal) constructive proofs. We take one of them to demonstrate that constructive type theory can be used in practice to develop a real, efficient, but error-free proof searcher. This was done by formally proving the decidability of intuitionistic propositional logic in Coq; the proof searcher was automatically extracted.",Klaus Weich,03F55,True
coq-iris,https://iris-project.org/,"This package provides the following Coq modules: iris.prelude, iris.algebra, iris.si_logic, iris.bi, iris.proofmode, iris.base_logic, iris.program_logic.",,None,False
coq-iris-heap-lang,https://iris-project.org/,This package provides the iris.heap_lang Coq module.,,None,False
coq-iris-string-ident,https://gitlab.mpi-sws.org/iris/string-ident,"This package implements string_to_ident in Ltac2, enabling support for Gallina names in Iris intro patterns (within strings).",,NA,False
coq-itauto,https://gitlab.inria.fr/fbesson/itauto,'itauto' is a reflexive SAT solver parameterised by a leaf tactic,Frédéric Besson,None,False
coq-iterable,https://github.com/clarus/coq-iterable,Generic definition of iterators,Guillaume Claret,None,False
coq-itree,https://github.com/DeepSpec/InteractionTrees,A Library for Representing Recursive and Impure Programs in Coq,"Li-yao Xia, Yannick Zakowski, Paul He, Chung-Kil Hur, Gregory Malecha, Steve Zdancewic, Benjamin C. Pierce",None,False
coq-itree-io,https://github.com/Lysxia/coq-itree-io,Interpret itree in the IO monad of simple-io.,Li-yao Xia,None,False
coq-izf,https://github.com/coq-contribs/izf,"This development contains the set-as-pointed-graph interpretation of Intuitionistic Zermelo Frankel set theory in system F_omega.2++ (F_omega + one extra universe + intuitionistic choice operator), which is described in chapter 9 of the author's PhD thesis (for IZ) and in the author's CSL'03 paper (for the extension IZ -> IZF).",Alexandre Miquel,03Exx,False
coq-jmlcoq,https://github.com/coq-community/jmlcoq,"A Coq formalization of the syntax and semantics of the Java-targeted JML specification language, along with a verified runtime assertion checker for JML.","Hermann Lehner, David Pichardie, Andreas Kägi",68Wxx,False
coq-jordan-curve-theorem,http://dpt-info.u-strasbg.fr/~jfd/Downloads/JORDAN_Contrib_Coq.tar.gz,"Constructive formalization of the combinatorial hypermaps, characterization of the planarity, genus theorem, Euler formula, ring of faces, discrete Jordan curve theorem",Jean-François Dufourd,51-xx,False
coq-jprover,https://github.com/coq-contribs/jprover,"JProver is a theorem prover for first-order intuitionistic logic. It is originally implemented by Stephan Schmitt and then integrated into MetaPRL by Aleksey Nogin. After this, Huang Guan-Shieng extracted the necessary ML-codes from MetaPRL and then adapted it to Coq.",Huang Guan-Shieng,NA,False
coq-jsast,https://github.com/querycert/jsast,"A minimal JavaScript syntax tree carved out of the JsCert project, with additional support for let bindings and using native floats.","Martin Bodin, Arthur Charguéraud, Daniele Filaretti, Philippa Gardner, Sergio Maffeis, Daiva Naudziuniene, Alan Schmitt, Gareth Smith, Josh Auerbach, Martin Hirzel, Louis Mandel, Avi Shinnar, Jerome Simeon",None,False
coq-json,https://github.com/liyishuai/coq-json,"From JSON to Coq, and vice versa.",Yishuai Li,68Q65,False
coq-karatsuba,http://r6.ca/Karatsuba/,An implementation of Karatsuba's Multiplication algorithm,Russell O'Connor,11-xx,False
coq-kildall,http://www.lif-sud.univ-mrs.fr/Rapports/24-2005.html,This Library provides a generic data flow analysis algorithm and a proof of its correctness. This algorithm is then used to perform type and shape analysis at bytecode level on a first order functionnal language.,"Solange Coupet-Grimal, William Delobel",68Q55,False
coq-label,https://github.com/pedagand/coq-label,'label' is a Coq plugin for referring to Propositional hypotheses by their type,"Pierre-Évariste Dagand, Théo Zimmermann, Pierre-Marie Pédrot",None,False
coq-lambda,https://github.com/coq-contribs/lambda,"We present the complete development in Gallina of the residual theory of beta-reduction in pure lambda-calculus. The main result is the Prism Theorem, and its corollary Lévy's Cube Lemma, a strong form of the parallel-moves lemma, itself a key step towards the confluence theorem and its usual corollaries (Church-Rosser, uniqueness of normal forms).",Gérard Huet,68N18,False
coq-lambek,https://github.com/coq-contribs/lambek,"This library contains some definitions concerning Lambek calculus. Three formalisations of this calculus are proposed, and also some certified functions which translate derivations from one formalism to another. Several derived properties are proved and also some meta-theorems. Users can define their own lexicons and use the defined tactics to prove the derivation of sentences in a particular system (L, NL, LP, NLP ...)","Houda Anoun, Pierre Castéran",68Q45,False
coq-lazy-pcf,http://www.cs.bell-labs.com/~felty/abstracts/ppcoq.html,An Operational Semantics of Lazy Evaluation and a Proof of Subject Reduction,"Amy Felty, Jill Seaman",68N18,False
coq-lc,http://www.math.unifi.it/~/maggesi/mechanized/,"We define a notion of module over a monad and use it to propose a new definition (or semantics) for abstract syntax (with binding constructions). Using our notion of module, we build a category of `exponential' monads, which can be understood as the category of lambda-calculi, and prove that it has an initial object (the pure untyped lambda-calculus).","André Hirschowitz, Marco Maggesi",68N18,False
coq-legacy-ring,https://github.com/coq-contribs/legacy-ring,Tactics to decide equality and simplify polynomial expressions over an arbitrary commutative ring. This generalizes a previous tactics by Samuel Boutin.,Patrick Loiseleur,None,False
coq-lemma-overloading,https://github.com/coq-community/lemma-overloading,"This project contains Hoare Type Theory libraries which demonstrate a series of design patterns for programming with canonical structures that enable one to carefully and predictably coax Coq's type inference engine into triggering the execution of user-supplied algorithms during unification, and illustrates these patterns through several realistic examples drawn from Hoare Type Theory. The project also contains typeclass-based re-implementations for comparison.","Georges Gonthier, Beta Ziliani, Aleksandar Nanevski, Derek Dreyer",68Q65,False
coq-lens,https://github.com/bedrocksystems/coq-lens,Generation of lenses for record datatypes,Gregory Malecha,None,False
coq-lesniewski-mereology,http://www.polytech.univ-savoie.fr/index.php?id=listic-logiciels-coq&L=1,"LesniewskiMereology is a Coq library created by R. Dapoigny and P. Barlatier whose purpose is to implement the alternative to Set Theory of Stanislaw Lesniewski. It is part of an on-going project using the Coq language and called KDTL (Knowledge-based Dependently Typed Language) to build an alternative to Description Logics. The developed theory is close to the analysis of Denis Mieville (1984) in his book ""Un developpement des systemes logiques de Stanislaw Lesniewski"". It is a theoretical construct which relies on three dependent levels, logic (a.k.a. Protothetic), the Lesniewski Ontologie (LO) and mereology. Each level incorporates a minimal collection of axioms, protothetic and ontologic definitions and a set of theorems together with their intuitionist proofs.","Richard Dapoigny, Patrick Barlatier",03-xx,False
coq-libhyps,https://github.com/Matafou/LibHyps,"This library defines a set of tactics to manipulate hypothesis individually or by group. In particular it allows applying a tactic on each hypothesis of a goal, or only on *new* hypothesis after some tactic. Examples of manipulations: automatic renaming, subst, revert, or any tactic expecting a hypothesis name as argument.  It also provides the especialize tactic to ease forward reasoning by instantianting one, several or all premisses of a hypothesis.",Pierre Courtieu,NA,False
coq-library-undecidability,https://github.com/uds-psl/coq-library-undecidability/,A Coq Library of Undecidability Proofs,"Yannick Forster, Dominique Larchey-Wendling, Andrej Dudenhefner, Edith Heiter, Dominik Kirst, Fabian Kunze, Gert Smolka, Simon Spies, Dominik Wehr, Maximilian Wuttke",None,False
coq-libvalidsdp,https://sourcesup.renater.fr/validsdp/,"LibValidSDP is a library for the Coq formal proof assistant. It provides results mostly about rounding errors in the Cholesky decomposition algorithm used in the ValidSDP library which itself implements Coq tactics to prove multivariate inequalities using SDP solvers.  Once installed, the following modules can be imported : From libValidSDP Require Import Rstruct.v misc.v real_matrix.v bounded.v float_spec.v fsum.v fcmsum.v binary64.v cholesky.v float_infnan_spec.v binary64_infnan.v cholesky_infnan.v flx64.v zulp.v coqinterval_infnan.v.","Pierre Roux, Érik Martin-Dorel",NA,False
coq-lin-alg,https://github.com/coq-contribs/lin-alg,"A development of some preliminary linear algebra based on Chapter 1 of ""Linear Algebra"" by Friedberg, Insel and Spence",Jasper Stein,06-xx,False
coq-list-plus,https://github.com/clarus/coq-list-plus,More functions on lists,Guillaume Claret,None,False
coq-list-string,https://github.com/clarus/coq-list-string,Strings implemented as lists,Guillaume Claret,None,False
coq-ltac-iter,https://github.com/gmalecha/coq-ltac-iter,"Provides tactics for performing various forms of iteration over hypotheses, hint databases, and other collections.",Gregory Malecha,None,False
coq-ltac2,https://github.com/coq/ltac2,A tactic language for Coq,,None,False
coq-ltl,https://github.com/coq-contribs/ltl,"This contribution contains a shallow embedding of Linear Temporal Logic (LTL) based on a co-inductive representation of program executions. Temporal operators are implemented as inductive (respectively co-inductive) types when they are least (respectively greatest) fixpoints. Several general lemmas, that correspond to LTL rules, are proved.",Solange Coupet-Grimal,03B45,False
coq-maple-mode,https://github.com/coq-contribs/maple-mode,"This contribution is an interface between Coq and Maple. In particular, this exports the functions simplify/factor/expand/normal giving the corresponding tactics Simplify/Factor/Expand/Normal. The manipulations carried out by these tactics are proved thanks to the tactic Field. These tactics can be also used as functions by means of the Eval ... In command.","David Delahaye, Micaela Mayero",NA,False
coq-markov,https://github.com/coq-contribs/markov,"A proof of Markov's inequality, restricted to probability spaces, based on the Wikipedia proof. Defines Lebesgue integral and associated concepts such as measurability, measure functions, and sigma algebras. Extended real numbers did not need to be defined because we are working in a probability space with measure 1. Nonconstructive; uses classic, Extensionality_Ensembles, axiomatized real numbers from Coq standard library.",Robert Kam,14Pxx,False
coq-matching-logic,https://github.com/harp-project/AML-Formalization,A library for Matching Logic.,"Jan Tusil, Lucas Peña, Attila Boros, Mizsei Tamás",03-xx,False
